code,the,rur
15.10,Construction Engineering Technologies ,Engineering & Technology
15.11,Engineering-Related Technologies ,Engineering & Technology
15.12,Computer Engineering Technologies/Technicians ,Engineering & Technology
15.13,Drafting/Design Engineering Technologies/Technicians ,Engineering & Technology
15.14,Nuclear Engineering Technologies/Technicians ,Engineering & Technology
15.15,Engineering-Related Fields ,Engineering & Technology
15.16,Nanotechnology ,Engineering & Technology
15.99,"Engineering Technologies/Technicians, Other ",Engineering & Technology
16.01,"Linguistic, Comparative, and Related Language Studies and Services ",Arts & Humanities
16.02,"African Languages, Literatures, and Linguistics ",Arts & Humanities
16.03,"East Asian Languages, Literatures, and Linguistics ",Arts & Humanities
16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics ",Arts & Humanities
16.05,"Germanic Languages, Literatures, and Linguistics ",Arts & Humanities
16.06,Modern Greek Language and Literature ,Arts & Humanities
16.07,"South Asian Languages, Literatures, and Linguistics ",Arts & Humanities
16.08,"Iranian/Persian Languages, Literatures, and Linguistics ",Arts & Humanities
16.09,"Romance Languages, Literatures, and Linguistics ",Arts & Humanities
16.10,"American Indian/Native American Languages, Literatures, and Linguistics ",Arts & Humanities
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics ",Arts & Humanities
16.12,"Classics and Classical Languages, Literatures, and Linguistics ",Arts & Humanities
16.13,"Celtic Languages, Literatures, and Linguistics ",Arts & Humanities
16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics ",Arts & Humanities
16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics ",Arts & Humanities
16.16,American Sign Language ,Arts & Humanities
16.99,"Foreign Languages, Literatures, and Linguistics, Other ",Arts & Humanities
19.00,Work and Family Studies ,Social Sciences
19.01,"Family and Consumer Sciences/Human Sciences, General ",Social Sciences
19.02,Family and Consumer Sciences/Human Sciences Business Services ,Social Sciences
19.04,Family and Consumer Economics and Related Studies ,Social Sciences
19.05,"Foods, Nutrition, and Related Services ",Social Sciences
19.06,Housing and Human Environments ,Social Sciences
19.07,"Human Development, Family Studies, and Related Services ",Social Sciences
19.09,Apparel and Textiles ,Social Sciences
19.99,"Family and Consumer Sciences/Human Sciences, Other ",Social Sciences
21.01,Technology Education/Industrial Arts Programs ,Engineering & Technology
22.00,Non-Professional General Legal Studies (Undergraduate) ,Social Sciences
22.01,Law ,Social Sciences
22.02,Legal Research and Advanced Professional Studies ,Social Sciences
22.03,Legal Support Services ,Social Sciences
22.99,"Legal Professions and Studies, Other ",Social Sciences
23.01,"English Language and Literature, General ",Arts & Humanities
23.04,English Composition ,Arts & Humanities
23.05,Creative Writing ,Arts & Humanities
23.07,American Literature (United States and Canadian ),Arts & Humanities
23.08,English Literature (British and Commonwealth) ,Arts & Humanities
23.10,Speech and Rhetorical Studies ,Arts & Humanities
23.11,Technical and Business Writing ,Arts & Humanities
23.13,Rhetoric and Composition/Writing Studies ,Arts & Humanities
23.14,Literature ,Arts & Humanities
23.99,"English Language and Literature/Letters, Other ",Arts & Humanities
24.01,"Liberal Arts and Sciences, General Studies and Humanities ",Arts & Humanities
25.01,Library Science and Administration ,Social Sciences
25.03,Library and Archives Assisting ,Social Sciences
25.99,"Library Science, Other ",Social Sciences
26.01,"Biology, General ",Life Sciences
26.02,"Biochemistry, Biophysics and Molecular Biology ",Life Sciences
26.03,Botany/Plant Biology ,Life Sciences
26.04,Cell/Cellular Biology and Anatomical Sciences ,Life Sciences
26.05,Microbiological Sciences and Immunology ,Life Sciences
26.07,Zoology/Animal Biology ,Life Sciences
26.08,Genetics ,Life Sciences
26.09,"Physiology, Pathology and Related Sciences ",Life Sciences
26.10,Pharmacology and Toxicology ,Life Sciences
26.11,"Biomathematics, Bioinformatics, and Computational Biology ",Life Sciences
26.12,Biotechnology ,Life Sciences
26.13,"Ecology, Evolution, Systematics, and Population Biology ",Life Sciences
26.14,Molecular Medicine ,Life Sciences
26.15,Neurobiology and Neurosciences ,Life Sciences
